Surname,Forename,Reg No.,Reg. Status,Module Code,1st Grade,2nd Grade
Aqua,Ruth,000000000,Fully registered,MUS6080,65,-
Blue,Kathy,000000001,Fully registered,MUS6080,75,-
Clementine,Ruth,000000002,Fully registered,MUS6080,69,-
Denim,Rebecca,000000003,Fully registered,MUS6080,60,-
Ecru,Emily,000000004,Fully registered,MUS6080,66,-
Forrest,Gemma,000000005,Fully registered,MUS6080,58,-
Green,Timothy,000000006,Fully registered,MUS6080,51,-
Harlequin,Kyriaki,000000007,Fully registered,MUS6080,65,-
Indigo,Alyssa,000000008,Fully registered,MUS6080,64,-
Jade,Andrea,000000009,Fully registered,MUS6080,71,-
KeyLime,Diana,000000010,Fully registered,MUS6080,52,-
Lemon,Pim,000000011,Fully registered,MUS6080,71,-
Magenta,Lauren,000000012,Fully registered,MUS6080,70,-
Noir,Hannah,000000013,Fully registered,MUS6080,68,-
Opal,Miranda,000000014,Fully registered,MUS6080,51,-
Peach,Nichola,000000015,Fully registered,MUS6080,68,-
