Surname,Forename,Reg No.,Reg. Status,Module Code,1st Grade,2nd Grade
Aqua,Ruth,000000000,Fully registered,MUS642,82,-
Blue,Kathy,000000001,Fully registered,MUS642,50,-
Clementine,Ruth,000000002,Fully registered,MUS642,51,-
Denim,Rebecca,000000003,Fully registered,MUS642,52,-
Ecru,Emily,000000004,Fully registered,MUS642,53,-
Forrest,Gemma,000000005,Fully registered,MUS642,54,-
Green,Timothy,000000006,Fully registered,MUS642,55,-
Harlequin,Kyriaki,000000007,Fully registered,MUS642,56,-
Indigo,Alyssa,000000008,Fully registered,MUS642,57,-
Jade,Andrea,000000009,Fully registered,MUS642,5,-
KeyLime,Diana,000000010,Fully registered,MUS642,56,-
Lemon,Pim,000000011,Fully registered,MUS642,DE,-
Magenta,Lauren,000000012,Fully registered,MUS642,70,-
Noir,Hannah,000000013,Fully registered,MUS642,67,-
Opal,Miranda,000000014,Fully registered,MUS642,52,-
Peach,Nichola,000000015,Fully registered,MUS642,68,-
